definition,device,phase,nodes,passed,failed,skipped,xfailed,xpassed,error,timeout,crash,unexecuted
python/test/unit/language/test_core.py::test_dot_multidim,npu_or_frontend,original-default,20,4,16,0,0,0,0,0,0,0
python/test/unit/language/test_decorator.py::test_decorator_with_def,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_decorator.py::test_triton_heuristic,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_assign_attribute,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_augassign_attribute,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_retrieve_item,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_assign_item,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_augassign_item,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_jit_method,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_jit_getitem,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_aggregate_initializers,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_aggregate_modification_in_for_loop,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_aggregate_modification_in_while_loop,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_list_of_functions,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_call_in_loop,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_function_name_mangling,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_aggregate_with_constexpr,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_aggregate_with_tuple,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_constexpr_function_from_jit,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_constexpr_function_from_python,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_assign_tuple_attrs_kernel,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
